date,equity
1992-02-29,0.98
1992-03-31,0.96117064
1992-04-30,0.9540649999999999
1992-05-31,0.9503221099999999
1992-06-30,0.9412005999999999
1992-07-31,0.9628167599999999
1992-08-31,0.9945089199999999
1992-09-30,1.0104994699999998
1992-10-31,1.0390528199999998
1992-11-30,1.0455962699999997
1992-12-31,1.0211250699999996
1993-01-31,0.9691747699999996
1993-02-28,0.9318010899999997
1993-03-31,0.9338444399999997
1993-04-30,0.9037534099999996
1993-05-31,0.9157606099999996
1993-06-30,0.9003539299999996
1993-07-31,0.8757311199999996
1993-08-31,0.8480434299999996
1993-09-30,0.8614848199999996
1993-10-31,0.8383534199999996
1993-11-30,0.8511471899999996
1993-12-31,0.8636780699999996
1994-01-31,0.8354170699999997
1994-02-28,0.8674803999999996
1994-03-31,0.8824733499999996
1994-04-30,0.8889441799999996
1994-05-31,0.8633752299999996
1994-06-30,0.8442079899999996
1994-07-31,0.8200391699999996
1994-08-31,0.8372145799999996
1994-09-30,0.8412238299999996
1994-10-31,0.8760339899999996
1994-11-30,0.8936348299999995
1994-12-31,0.9140826599999996
1995-01-31,0.8989358599999996
1995-02-28,0.8998955199999996
1995-03-31,0.9197685499999996
1995-04-30,0.8878325499999996
1995-05-31,0.9087555499999996
1995-06-30,0.9436772599999996
1995-07-31,0.9608002699999997
1995-08-31,0.9325692599999997
1995-09-30,0.9512420399999997
1995-10-31,0.9806531799999997
1995-11-30,0.9694443499999997
1995-12-31,0.9191457399999997
1996-01-31,0.8842937499999997
1996-02-29,0.9127484999999996
1996-03-31,0.8921100899999996
1996-04-30,0.9333563199999997
1996-05-31,0.9563971199999997
1996-06-30,0.9300422299999996
1996-07-31,0.9536447899999997
1996-08-31,0.9641670999999997
1996-09-30,0.9988998599999998
1996-10-31,0.9923666099999997
1996-11-30,1.0471576399999998
1996-12-31,1.0039202099999998
1997-01-31,1.0230917099999997
1997-02-28,1.0021612099999997
1997-03-31,0.9891866399999997
1997-04-30,1.0197826099999996
1997-05-31,1.0394061599999995
1997-06-30,1.0305607499999996
1997-07-31,1.0481553899999996
1997-08-31,1.0369916999999995
1997-09-30,0.9988935799999995
1997-10-31,1.0121629599999995
1997-11-30,1.0286209399999995
1997-12-31,1.0057044099999994
1998-01-31,1.0454734799999994
1998-02-28,1.0439575299999995
1998-03-31,1.0319293899999995
1998-04-30,1.0447282699999996
1998-05-31,1.0429802299999995
1998-06-30,1.0355772699999994
1998-07-31,1.0377466799999995
1998-08-31,1.0656815799999995
1998-09-30,1.0047528899999996
1998-10-31,1.0245783099999997
1998-11-30,1.0164361599999996
1998-12-31,1.0045067699999997
1999-01-31,0.9179388499999996
1999-02-28,0.9032334199999996
1999-03-31,0.8865964699999996
1999-04-30,0.8353833899999996
1999-05-31,0.8674423099999996
1999-06-30,0.8748904599999996
1999-07-31,0.9069361099999996
1999-08-31,0.8723652199999996
1999-09-30,0.8430717799999996
1999-10-31,0.8695307299999996
1999-11-30,0.8384197599999996
1999-12-31,0.7559442799999996
2000-01-31,0.6708532399999996
2000-02-29,0.41201135999999955
2000-03-31,0.6290879499999995
2000-04-30,0.7544228799999995
2000-05-31,0.8032132799999995
2000-06-30,0.6871541799999995
2000-07-31,0.7545803399999995
2000-08-31,0.7179066599999995
2000-09-30,0.7288776599999994
2000-10-31,0.8352776099999994
2000-11-30,0.9491528199999995
2000-12-31,0.9815530599999994
2001-01-31,1.0064128299999995
2001-02-28,1.0999462599999994
2001-03-31,1.2268029099999993
2001-04-30,1.1762888199999992
2001-05-31,1.1230592199999991
2001-06-30,1.1310143899999991
2001-07-31,1.2421688999999991
2001-08-31,1.2854176899999992
2001-09-30,1.3496961299999992
2001-10-31,1.2783074099999991
2001-11-30,1.1965225599999991
2001-12-31,1.200384069999999
2002-01-31,1.296983709999999
2002-02-28,1.432698919999999
2002-03-31,1.3699399499999991
2002-04-30,1.5120806199999992
2002-05-31,1.5839248699999993
2002-06-30,1.6919510599999992
2002-07-31,1.7557573799999993
2002-08-31,1.7743125899999992
2002-09-30,1.8567109899999992
2002-10-31,1.791946919999999
2002-11-30,1.580980499999999
2002-12-31,1.698932489999999
2003-01-31,1.686615759999999
2003-02-28,1.673599069999999
2003-03-31,1.695830789999999
2003-04-30,1.610290509999999
2003-05-31,1.4798741499999988
2003-06-30,1.5283125299999987
2003-07-31,1.5010260099999986
2003-08-31,1.4633806599999986
2003-09-30,1.4817276599999984
2003-10-31,1.4696407999999985
2003-11-30,1.4509135199999985
2003-12-31,1.4375036199999984
2004-01-31,1.3785500199999985
2004-02-29,1.4173574299999985
2004-03-31,1.4482837399999984
2004-04-30,1.4781169399999983
2004-05-31,1.4727689099999983
2004-06-30,1.4658529999999983
2004-07-31,1.4980509199999983
2004-08-31,1.5185313699999983
2004-09-30,1.5037068899999984
2004-10-31,1.5006937499999984
2004-11-30,1.4808910699999984
2004-12-31,1.4811205499999984
2005-01-31,1.5130258599999984
2005-02-28,1.5343981499999984
2005-03-31,1.5513768699999984
2005-04-30,1.5430233299999982
2005-05-31,1.5479969199999983
2005-06-30,1.5169670799999984
2005-07-31,1.5155754099999983
2005-08-31,1.5103567599999983
2005-09-30,1.4974187699999983
2005-10-31,1.5246612699999984
2005-11-30,1.5325305699999985
2005-12-31,1.5047117199999984
2006-01-31,1.4974344499999985
2006-02-28,1.4750784599999984
2006-03-31,1.4844189599999984
2006-04-30,1.5019729099999983
2006-05-31,1.4899046899999984
2006-06-30,1.4986192299999983
2006-07-31,1.4828936999999982
2006-08-31,1.445231849999998
2006-09-30,1.4686458499999981
2006-10-31,1.460297279999998
2006-11-30,1.4509492799999981
2006-12-31,1.440446809999998
2007-01-31,1.4371707199999981
2007-02-28,1.4367451899999981
2007-03-31,1.471156089999998
2007-04-30,1.500745189999998
